xmean,xsd,ymean,ysd,ea_ratio,training_label
191.92959501557633,36.29554218774023,1432.7767441860465,143.53943277543178,0.017004998913279723,0
257.6967213114754,84.18371775469892,634.548623853211,172.6401409809513,0.02322700611165042,0
355.45454545454544,204.5498981864154,330.72727272727275,249.46877458582364,0.018622410429140878,0
328.135593220339,213.68271491013948,260.17391304347825,198.2122225526798,0.017370812463794388,0
332.5578158458244,196.0618166566092,270.56533101045295,183.96373795312178,0.01943702482298607,0
415.26488095238096,150.26664222858145,275.7490118577075,161.0856394903398,0.0223243694711086,0
407.1975116640746,34.24120633881899,583.1358574610244,66.41612612920797,0.017761952429279512,0
378.32004830917873,70.97135051014868,630.2796780684105,146.24862464570924,0.024854440653583335,0
193.8478513356562,120.28065355516382,580.5321739130435,310.7092675876266,0.021517951825480986,0
134.84887839433293,78.56770260033255,217.1425855513308,160.05567179079404,0.02675288762395572,0
331.600782778865,204.27022775849306,241.8957887223412,213.32389140611784,0.019029600048050665,0
257.5513888888889,128.84651775255657,340.25137614678897,132.7143622508412,0.021029561671763508,0
185.71595124536302,113.65909046203419,620.258407079646,425.68806617752176,0.01946996449859542,0
308.38120567375887,193.8734691960734,283.73083197389883,223.77412867531746,0.018604728518042877,0
610.8380281690141,76.6096229497721,1036.3082437275987,275.9433141646314,0.019774681542060007,0
552.9173871277618,281.8424507528824,294.26738241308794,219.67348557651735,0.022803796883993487,0
1089.1203852327449,224.57081939362934,729.986013986014,228.13769946537852,0.022872546640913104,0
952.4844984802431,337.8925809547498,860.8994505494505,227.5181970737684,0.01677510938909115,0
547.3941958887546,167.34349649386178,939.201244813278,308.21761213465027,0.018770665355456656,0
367.9602327837051,213.73946306050496,288.71156773211567,217.7348583879195,0.01790462186672808,0
238.6579476861167,162.8929475958739,221.2929104477612,90.76944112572008,0.01939247424847593,0
169.85770750988144,121.98796800433841,387.15315315315314,203.91899991441124,0.017338603425559946,0
161.55234425176621,126.94649898920251,453.2198198198198,213.36132353814622,0.017744912542600404,0
166.69277845777233,71.74748224543661,285.50943396226415,225.72124888037382,0.02776174017022958,0
428.527693856999,122.49246637507746,728.6438356164383,178.54567504825965,0.01692498172136462,0
247.7318116975749,41.2011104063337,445.28205128205127,165.785209930469,0.023479278686126048,0
158.54626675175496,110.01705615768576,455.02197802197804,315.74572968978197,0.016886750773157922,0
286.8917127071823,177.71256010681566,303.3142523364486,159.02880795468388,0.02005344142097382,0
280.0187747035573,190.2624322502248,269.3716730038023,192.3841651286771,0.01716756338388013,0
443.35891381345925,275.23180503995144,283.84353741496597,149.47698845401794,0.019811151536568976,0
